feat_1,feat_2,QI_1,QI_2,sensitive_attr,Group,target
0.7362408461622069,0.5828679849259777,1840,1667,0,0,1
-0.25523879322660337,2.048637246024103,2115,352,1,1,1
-1.1892500012551581,0.6222738318905991,4437,4347,1,1,0
0.18131007309517627,-1.140402104549346,1146,1225,0,0,0
-1.0078350183438807,-0.6406605666284215,2486,4795,0,0,0
0.7038952607585305,1.2525746347426694,44,1361,0,0,1
2.589007317420215,-0.15776918872463974,2154,1343,0,0,1
-0.43155461471323114,0.6627309445780705,1526,922,0,0,0
1.6681298374030988,0.32948198613847857,4855,3704,1,1,1
1.0275384009592423,-0.723065191766825,1378,212,0,0,1
0.7190131144090521,-1.2860212954742403,1765,1541,1,1,1
0.1597297102218234,-0.31364127440509126,3012,4825,0,0,0
0.562952716505985,2.235295130803516,413,977,1,1,1
-0.4296136063851578,0.35929774738640907,4284,3061,0,0,0
-0.2947865444470645,0.6984304428425967,1407,28,1,1,1
0.18274076104711848,0.4926295486730848,1658,296,0,0,1
-0.9657781670060919,0.12802403748496513,801,2532,1,1,0
1.0252319262176137,-1.4589785284258532,1288,3101,0,0,1
1.9541650083817557,0.6669237684757342,2182,1140,0,0,1
-1.312454303512363,-1.0833692272345987,2588,3071,0,0,0
0.7028667984908982,-0.036379668481084954,2615,3578,1,1,1
-0.6621844269605073,-2.0149568233569344,2318,1346,0,0,0
-0.9987227345038509,-0.03556718646223714,256,4649,0,0,0
-0.36719948526113005,1.2098906576049941,4541,4641,1,1,1
0.41883064525232616,-0.42218735160848836,1729,4207,1,1,1
0.6165459615542705,0.6944528719786739,1151,2556,1,1,1
-3.6631485169597693,-0.8967434235050171,4144,2927,0,0,0
-0.46196227371499377,-0.23027890433196022,647,1736,1,1,0
-1.253393021881498,0.6087828151884894,2908,2053,0,0,0
0.10734659670045966,0.22519799151514622,1702,1128,0,0,1
-0.6457299572064947,0.1402066483304052,1881,4599,1,1,0
-0.07010138520070645,-0.3843437289732534,3768,1147,0,0,0
0.1369627778683552,-1.3073396473362158,1315,2752,1,1,0
-0.7277844731269633,-1.7075357493721468,2269,3933,1,1,0
