feat_1,feat_2,QI_1,QI_2,sensitive_attr,Group,target
-0.060975503729056184,-0.7635581769203396,3,7,1,1,0
0.0975749608619983,-0.907107459321942,11,7,0,0,0
0.15501682066039313,-1.5065788209947188,1,3,1,1,0
0.46404552225899315,-1.2747473340213136,2,8,1,1,0
-0.7218205980624606,-1.2573056694412694,5,4,1,1,0
-1.708339203167056,0.1506706555141937,3,3,1,1,0
1.5121870177507521,-0.8623957422222575,6,2,0,0,1
-0.0654185461820681,0.4703431568446644,5,0,0,0,1
-0.23671331301403228,-1.0691735235220274,6,7,0,0,0
-1.235492068015628,1.0378608913560863,0,3,0,0,0
0.411317420125341,-1.2358263316794031,9,7,0,0,0
0.4866612534567391,1.2687491537814257,11,1,0,0,1
-1.5303986938793361,0.5190433416491317,11,0,1,1,0
-1.7537760027359277,-0.3630293590431114,4,7,0,0,0
0.8261795647837739,-1.0919045536277474,11,8,0,0,1
-0.8848025290541087,-2.300099001415121,6,8,1,1,0
-0.4655353320273218,-0.6597882347907129,3,5,0,0,0
0.9332390022263701,-1.5695251092687073,2,9,1,1,1
-1.4047939613873022,0.19171907287228218,8,9,0,0,0
1.1418704081482556,0.1258849101614077,7,8,0,0,1
0.4790679903812687,-0.4214844277004828,2,8,1,1,1
1.4185771877731586,-0.3932817929131971,6,8,0,0,1
-0.4681581856513861,-1.509148122773844,5,10,0,0,0
0.5129205579135544,0.751787771193865,9,4,1,1,1
1.2175005357705984,0.14814727761426486,0,8,0,0,1
-0.10477888345262737,0.1826564515018208,4,2,0,0,1
0.3697117164608493,0.2212045849723149,10,11,1,1,1
-0.015289143685435895,-0.27977453023802407,3,9,1,1,1
0.3269894503944037,0.00849138969512973,4,0,0,0,1
0.5457125671657114,0.801410794258603,8,7,1,1,1
-1.929372029577627,-0.47499741539554735,7,9,0,0,0
-0.2764558473707656,-0.7048509707905729,3,0,1,1,0
-0.09833408064363401,1.6890806918354957,1,1,1,1,1
0.04986808534750502,-0.04467677828767356,1,8,0,0,1
-0.6852507633645406,0.3686366762907276,4,7,0,0,0
-1.1546895996595072,0.6807201889434307,6,9,1,1,0
-0.6032760537936608,2.451698251253954,10,11,0,0,1
-0.5149621479337398,0.1511776078169566,8,5,0,0,0
