feature1,feature2,sex,income
49.44415329089545,51.11372601840053,1,0
56.38592458777374,64.97431683179626,1,0
37.038833357501055,69.422455947563,1,0
32.36959844637266,61.97246923645228,1,0
44.075357408471056,54.753656106920104,0,1
51.975996046923996,35.944369461437134,0,1
44.477769557190285,42.76009668257391,0,1
45.16114165945678,56.961679971592886,1,0
53.43618289568462,54.2548993324023,1,0
49.43054376278933,48.93662997468685,1,0
31.538121377619063,43.00585459876712,0,1
55.107920885275945,48.69074194873873,1,0
41.01215951676872,44.001779766801505,1,0
46.75168616491378,50.84168230185696,0,1
48.419921014210104,47.640300127890285,1,0
46.118231814587716,29.365968475205456,1,0
61.143216946688725,49.857296470506114,1,0
43.646376111743706,47.86124832445361,1,0
47.51308873816453,61.73442276632445,0,1
51.10922589709866,46.114792248169906,1,0
47.41145599630168,51.25901388394959,0,1
50.81874139386323,57.21479323757343,0,1
53.93797298216251,37.50179660410636,0,1
51.9905969557347,61.70198709196604,0,1
46.82284903243766,79.18173555060093,0,1
57.22381357827771,38.05477060233965,0,1
66.39116805444067,38.2054033549222,1,0
59.039348410861955,28.284285952395525,0,1
55.72582781356159,53.60647891435795,0,1
51.647608412365166,44.258993247164014,0,1
65.32738913002578,33.1265565288929,1,0
53.81158384882778,36.668716452221936,0,1
57.083038472010635,55.667717261841794,1,0
46.33175588185313,33.686648895829265,0,1
58.90383163519786,42.28259185403218,0,1
55.796331732135755,47.513841462333225,1,0
53.61503525206102,50.9297924652941,0,1
51.504189051435766,66.29642131112799,0,1
62.65707840864701,28.217886802685697,1,0
46.94775295645332,61.27908993253569,1,0
45.205070326007565,53.66814043285442,0,1
53.072995208766095,40.54493120057269,1,0
55.578103063518626,53.83435031403644,0,1
57.08356447299353,36.6722260252035,1,0
42.07479261567299,50.1249932190725,0,1
58.60473488359745,52.26684248494597,0,1
56.32781866106285,69.20367502144262,1,0
45.83805595114746,48.23866496449022,1,0
44.04338705956508,53.268554006104374,1,0
51.486674572021116,54.73038282160215,1,0
68.38183676795123,50.19344070811754,1,0
46.08241850956178,54.80260501405925,0,1
53.10907565598005,44.806036281738734,0,1
47.033925409302014,53.66746407892257,1,0
38.12401580970487,26.080437956869762,0,1
47.86552848288153,48.63004510557542,1,0
39.758131756707954,53.48341739246127,0,1
44.352259958290574,54.68978078148468,0,1
34.96857046881894,49.64992389993764,1,0
47.00161803725119,45.79972272705837,1,0
68.46636996047665,45.8777925497553,1,0
47.90976742713975,58.431053323232405,1,0
49.758749128899964,29.135223416289154,0,1
70.12270445700764,50.58370290817896,1,0
52.15396505456288,34.7971320775939,0,1
66.77700814076441,64.35087399222235,0,0
50.37937835447602,52.49417687685042,0,1
49.45705133482188,52.127397758576606,1,1
38.53654606981312,39.044806111544375,0,1
48.09317599236653,61.460301441420654,1,0
40.9224381985308,48.238875660401376,1,0
53.08050539504102,55.87262413464177,0,1
60.0629280921444,49.50970659161963,0,1
64.76540349725896,48.95657207013108,1,1
