stable_1,stable_2,high_freq,target,Group,QI_1,QI_2,sensitive_attr
0.4702970874899165,0.23988849614181573,0.25964966824564817,0,0,4,2,1
0.8181748001564971,0.8280601067683668,0.22836829891585003,1,1,8,8,1
0.6909268519653412,0.8070249064955465,0.03090155374104886,1,1,6,8,1
0.017400160016465716,0.976895806511213,1.3625391169841132,0,0,0,9,1
0.060994911415163444,0.7311713769044274,-0.055270454271343805,0,0,0,7,0
0.8663091578833659,0.040544135680782634,0.08679689415938271,0,1,8,0,1
0.7208572381056847,0.8109787671140009,1.7890561480111016,1,1,7,8,1
0.27191290996267226,0.7831834562503434,0.05962093781314712,1,0,2,7,1
0.39334188395292,0.8705269320069341,0.5544445822055066,1,0,3,8,1
0.8669500327749734,0.9456230407523105,0.4876119811340843,1,1,8,9,1
0.0001359421472076905,0.05394589024257124,-0.9114590370536769,0,0,0,0,0
0.2122923786341646,0.8686465171850731,-0.5888566556179677,1,0,2,8,0
0.6176599771146911,0.7455845942430215,-0.7095701134012448,1,1,6,7,0
0.4888597187964505,0.6441638273121307,1.9414406322690105,1,0,4,6,1
0.831167748366415,0.47749296288104714,-0.017146807234680816,1,1,8,4,0
0.31609993050014673,0.0043258398459267156,0.4938310586132531,0,0,3,0,1
0.5558595845777259,0.6130260608677532,-0.472753512497272,1,1,5,6,0
0.08168466211302361,0.19095600564256687,0.6671601251865924,0,0,0,1,1
0.21407616300139698,0.20455030810854158,-1.598369703976826,0,0,2,2,0
0.5473399022851015,0.06088278603536368,-1.1813766270603812,0,1,5,0,0
0.3560342379787488,0.4841343714565416,0.6512412183682492,0,0,3,4,1
0.9141216949711024,0.22311476495766824,-1.6080005468615495,1,1,9,2,0
0.6507503664762934,0.32340774058733046,1.649269936869513,0,1,6,3,1
0.42635976500835293,0.8123686956576787,1.2665199789407597,1,0,4,8,1
0.898847736321301,0.13964080026915993,-0.6428245062010902,1,1,8,1,0
0.16206943856657874,0.7555669133635764,-0.29668907980381043,0,0,1,7,0
0.8434410390259053,0.08675214284293509,-0.3868901456661509,0,1,8,0,0
0.8754598293130372,0.7347679681994363,1.585440148184678,1,1,8,7,1
0.6236635901414439,0.9039898017102317,-0.42635986427969197,1,1,6,9,0
0.36018797121992896,0.7259432364455704,0.48429239574285043,1,0,3,7,1
0.24417336332568207,0.26391954167930853,1.401339015035101,0,0,2,2,1
0.3246534965065804,0.14130216249098526,-0.20842510871510367,0,0,3,1,0
0.80322972419814,0.2904770713300381,0.041571077641515686,1,1,8,2,1
0.2716726401531052,0.041805030084473116,0.05308420967569094,0,0,2,0,1
0.173324492943161,0.1534038383438271,0.6736043916950063,0,0,1,1,1
0.5056109770572883,0.299747514119572,-0.532084015844396,0,1,5,2,0
0.5592106574508816,0.4647725923716256,0.19042575635402947,0,1,5,4,1
0.9725171919229125,0.2914731141929717,-0.29722044611890297,1,1,9,2,0
0.012429492054438107,0.2739770008519822,0.9113336847957767,0,0,0,2,1
0.17108182920509907,0.8233478309866504,1.0055999719785813,1,0,1,8,1
0.5536604456342472,0.7492151512385476,0.061122164177779936,1,1,5,7,1
0.2364623961980289,0.8271280149516822,-0.1281429897995125,1,0,2,8,0
0.07808611679049138,0.917177033153229,-0.9353102662874643,1,0,0,9,0
0.09096829645801852,0.09326252889891429,1.7621380925931516,0,0,0,0,1
0.018249902095130777,0.5386333089847196,0.21576931366211838,0,0,0,5,1
0.9763051517404363,0.6685415677474181,0.34560048196383786,1,1,9,6,1
0.4170222110247016,0.651861249886089,1.8820185122395248,1,0,4,6,1
0.5486335841144566,0.22270284752203018,-0.9504899521770819,0,1,5,2,0
0.8703705044434535,0.021829407939530254,1.4768179417963179,0,1,8,0,1
0.15949884566944528,0.7359528952201253,0.9193902343563185,0,0,1,7,1
0.5672674224723028,0.9486374608800796,1.4583667346222975,1,1,5,9,1
0.87854499013149,0.12253486277509196,0.5511154705184645,1,1,8,1,1
0.10828157848837217,0.40400275084575343,1.4765403807671416,0,0,1,4,1
0.5005614208491012,0.34271403788109833,1.4704370596867204,0,1,5,3,1
0.7337737997998319,0.424308003081285,1.4103478446470032,1,1,7,4,1
0.48112832758013635,0.9781265005708931,0.99682647974712,1,0,4,9,1
0.7004791791730106,0.10461628870017947,0.38166612645779263,0,1,7,1,1
0.734478157785246,0.09485505399411653,1.7677597886843215,0,1,7,0,1
0.036701149851919634,0.7420781322535501,0.522427618034935,0,0,0,7,1
0.2833305250164383,0.10533604374277394,0.2152051233300072,0,0,2,1,1
0.9451487207106142,0.3540782205051791,0.16015131226794393,1,1,9,3,1
0.9710461405101289,0.638306459750691,1.4719917117534662,1,1,9,6,1
0.6959743989532903,0.5805463187784664,-0.13585401796094632,1,1,6,5,0
0.16193532088511264,0.7768556532076553,-0.2526747341874726,0,0,1,7,0
0.8844502367578939,0.7200414223801861,1.8672636807260754,1,1,8,7,1
0.7098341667851149,0.06812873116136231,-0.5040533290346916,0,1,7,0,0
0.16161821102112262,0.207860868484958,-0.44098931530906826,0,0,1,2,0
0.906689452069881,0.854794145039538,-0.9429296079051864,1,1,9,8,0
0.22879090745042796,0.21397133944242297,-1.5065741338837693,0,0,2,2,0
0.8460527690675694,0.5345123516506296,-1.9297672505166168,1,1,8,5,0
0.7473259059374144,0.36215383359441855,-0.7383314129231503,1,1,7,3,0
0.6303468167676625,0.13663222365543704,-0.8363367002139732,0,1,6,1,0
0.3898742303282924,0.40495065991555534,0.6064982355532622,0,0,3,4,1
0.5741442917259318,0.4845067971621244,1.8022931161697215,1,1,5,4,1
0.9578415701082185,0.5960497569034052,0.41092516771066046,1,1,9,5,1
0.7363640093616612,0.2737563378795229,0.79460664753623,1,1,7,2,1
0.9858469993961168,0.3574459068596527,-0.6379339024467787,1,1,9,3,0
0.10923319810167553,0.5260744043321232,-0.3139338519726872,0,0,1,5,0
0.4645132030699697,0.8371323136803797,-1.3523892283357006,1,0,4,8,0
0.651583447710004,0.00345460492537486,1.230993926846664,0,1,6,0,1
