Num_Children,Group,Income,Own_Car,Own_Housing,Target
0.30000000000000004,0.0,0.1793059768658955,1.0,1.0,0
0.1,0.0,0.7302243408113602,1.0,0.0,1
0.1,0.0,0.5572630198784403,1.0,1.0,1
0.1,0.0,0.1659166416658333,1.0,0.0,0
0.1,1.0,0.5690634132248853,1.0,1.0,1
0.2,0.0,0.07472471304599038,1.0,0.0,0
0.4,1.0,0.23285220618465058,0.0,1.0,0
0.7000000000000001,1.0,0.8290498572174627,1.0,1.0,1
0.2,1.0,0.6762780981588274,1.0,0.0,1
0.0,1.0,0.33057768592286413,1.0,0.0,0
0.30000000000000004,1.0,0.31014367145571514,1.0,1.0,0
0.2,0.0,0.6783559451981731,1.0,0.0,1
0.0,1.0,0.9245085947309355,1.0,0.0,1
0.2,1.0,0.6606886896229873,1.0,0.0,1
0.1,1.0,0.9608764736602331,1.0,0.0,1
0.6000000000000001,0.0,0.41830283231663273,0.0,0.0,0
0.1,0.0,0.038556840783581625,0.0,0.0,0
0.4,1.0,0.5528517617253907,1.0,1.0,1
0.4,1.0,0.668055601853395,1.0,1.0,1
0.1,1.0,0.5460404235696745,1.0,1.0,1
0.1,1.0,0.589375201395602,1.0,0.0,1
0.1,1.0,0.2391857506361323,1.0,0.0,0
0.4,0.0,0.44228140938031263,0.0,1.0,0
0.2,1.0,0.4143360334233363,1.0,0.0,0
0.0,1.0,0.3083880573796904,1.0,1.0,0
0.2,1.0,0.8825849750547239,1.0,1.0,1
0.30000000000000004,1.0,0.8074380257119682,1.0,1.0,1
0.1,1.0,0.1577274798048824,1.0,1.0,0
0.30000000000000004,1.0,0.5020278453726235,1.0,1.0,1
0.0,0.0,0.3329333199995555,1.0,0.0,0
0.2,1.0,0.3205773525784193,1.0,0.0,0
0.1,1.0,0.7946598219940664,1.0,1.0,1
0.0,0.0,0.11242596975454733,1.0,0.0,0
0.30000000000000004,1.0,0.24818605064613258,1.0,1.0,0
0.1,0.0,0.2569196751002811,0.0,0.0,0
0.2,0.0,0.6196206540218008,0.0,1.0,1
